N,absolute_change_near_cf_boundary,approximate_factor_acceptance_mass,approximate_mass_near_cf_boundary,approximate_order_acceptance_mass,base,cf_boundary_fraction,clean_distribution_tv,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,controlled_phase,controlled_phase_saving,cutoff,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_controlled_phase,exact_factor_acceptance_mass,exact_mass_near_cf_boundary,exact_order_acceptance_mass,fraction_change_near_cf_boundary,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,omitted_layers,order_dependent_approximate_mean_valid_phase_distance,order_dependent_exact_mean_valid_phase_distance,phase_modulus,phase_qubits,readout_bitflip_probability,shots,state_certified,state_m_shot_bound,state_norm_error,state_trace_distance,worst_case_certified,worst_case_m_shot_bound
35,3.9009079703194706e-05,0.0,0.5985502842187458,0.67674957455912,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,9.794528838420407e-05,2.448632209605102e-05,66,0.0,0.5985494568077749,0.6767496369763801,0.7965483658627078,0.9999999225705694,True,0.0007870421064299479,35:11,False,False,0.05,3,0.005061674598724662,0.0050596186581960065,4096,12,0.01,4,True,0.024382523826187653,0.008186587973593798,0.006095630956546913,False,0.2086213871524472
35,3.9009079703194706e-05,0.0,0.5985502842187458,0.67674957455912,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,0.00019589057676840815,2.448632209605102e-05,66,0.0,0.5985494568077749,0.6767496369763801,0.7965483658627078,0.9999999225705694,True,0.0011130454487101153,35:11,False,False,0.05,3,0.005061674598724662,0.0050596186581960065,4096,12,0.01,8,True,0.048765047652375305,0.008186587973593798,0.006095630956546913,False,0.4172427743048944
35,3.9009079703194706e-05,0.0,0.5985502842187458,0.67674957455912,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,0.0003917811535368163,2.448632209605102e-05,66,0.0,0.5985494568077749,0.6767496369763801,0.7965483658627078,0.9999999225705694,True,0.0015740834815905712,35:11,False,False,0.05,3,0.005061674598724662,0.0050596186581960065,4096,12,0.01,16,False,0.09753009530475061,0.008186587973593798,0.006095630956546913,False,0.8344855486097889
39,0.0,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,4,True,0.0,0.0,0.0,True,0.0
39,0.0,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,8,True,0.0,0.0,0.0,True,0.0
39,0.0,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,16,True,0.0,0.0,0.0,True,0.0
39,0.0,0.8187521591015755,0.7770012127783266,0.8187521591015755,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8187521591015755,0.7770012127783266,0.8187521591015755,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,4,True,0.0,0.0,0.0,True,0.0
39,0.0,0.8187521591015755,0.7770012127783266,0.8187521591015755,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8187521591015755,0.7770012127783266,0.8187521591015755,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,8,True,0.0,0.0,0.0,True,0.0
39,0.0,0.8187521591015755,0.7770012127783266,0.8187521591015755,2,0.44970703125,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8187521591015755,0.7770012127783266,0.8187521591015755,0.0,1.0,True,0.0,39:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,16,True,0.0,0.0,0.0,True,0.0
39,5.770846057555389e-17,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,2.990727752967125e-17,148,2,92,0,65,1,10,True,1.19629110118685e-16,2.990727752967125e-17,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.9647895987573737,1.0,True,0.0,39:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,4,True,0.0026569324127670253,0.0007669903187426925,0.0006642331031917563,True,0.01227184630308513
39,5.770846057555389e-17,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,2.990727752967125e-17,148,2,92,0,65,1,10,True,2.3925822023737e-16,2.990727752967125e-17,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.9647895987573737,1.0,True,0.0,39:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,8,True,0.005313864825534051,0.0007669903187426925,0.0006642331031917563,True,0.02454369260617026
39,5.770846057555389e-17,0.8309316117416881,0.7941301538804348,0.8309316117416881,2,0.44970703125,2.990727752967125e-17,148,2,92,0,65,1,10,True,4.7851644047474e-16,2.990727752967125e-17,66,0.8309316117416881,0.7941301538804348,0.8309316117416881,0.9647895987573737,1.0,True,0.0,39:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,16,True,0.010627729651068101,0.0007669903187426925,0.0006642331031917563,True,0.04908738521234052
39,6.277927625385096e-17,0.8187521591015754,0.7770012127783263,0.8187521591015754,2,0.44970703125,2.990727752967125e-17,148,2,92,0,65,1,10,True,1.3463101652662433e-16,3.365775413165608e-17,66,0.8187521591015755,0.7770012127783266,0.8187521591015755,0.93261237823954,1.0,True,0.0,39:2,False,False,0.05,1,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,4,True,0.0026569324127670253,0.0007669903187426925,0.0006642331031917563,True,0.01227184630308513
