N,base,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,omitted_layers,order_ci95_high,order_ci95_low,order_probability,readout_bitflip_probability,replicates,shots
51,2,9,1.0,0.9433739770288436,1.0,51:2,4.233598883729428e-05,2,1.0,0.9433739770288436,1.0,0.01,64,4
51,2,8,1.0,0.9433739770288436,1.0,51:2,4.3220703446422704e-05,3,1.0,0.9433739770288436,1.0,0.01,64,4
51,2,11,1.0,0.9433739770288436,1.0,51:2,5.365951074054465e-05,0,1.0,0.9433739770288436,1.0,0.0,64,8
51,2,10,1.0,0.9433739770288436,1.0,51:2,5.377476190915331e-05,1,1.0,0.9433739770288436,1.0,0.0,64,8
51,2,9,1.0,0.9433739770288436,1.0,51:2,5.287051317282021e-05,2,1.0,0.9433739770288436,1.0,0.0,64,8
51,2,8,1.0,0.9433739770288436,1.0,51:2,5.36927800567355e-05,3,1.0,0.9433739770288436,1.0,0.0,64,8
51,2,11,1.0,0.9433739770288436,1.0,51:2,5.539648554986343e-05,0,1.0,0.9433739770288436,1.0,0.01,64,8
51,2,10,1.0,0.9433739770288436,1.0,51:2,5.638149923470337e-05,1,1.0,0.9433739770288436,1.0,0.01,64,8
51,2,9,1.0,0.9433739770288436,1.0,51:2,5.483600034494884e-05,2,1.0,0.9433739770288436,1.0,0.01,64,8
51,2,8,1.0,0.9433739770288436,1.0,51:2,5.611721644527279e-05,3,1.0,0.9433739770288436,1.0,0.01,64,8
51,2,11,1.0,0.9433739770288436,1.0,51:2,7.541475679317955e-05,0,1.0,0.9433739770288436,1.0,0.0,64,16
51,2,10,1.0,0.9433739770288436,1.0,51:2,7.65508484619204e-05,1,1.0,0.9433739770288436,1.0,0.0,64,16
51,2,9,1.0,0.9433739770288436,1.0,51:2,7.461327186319977e-05,2,1.0,0.9433739770288436,1.0,0.0,64,16
51,2,8,1.0,0.9433739770288436,1.0,51:2,7.54342745494796e-05,3,1.0,0.9433739770288436,1.0,0.0,64,16
51,2,11,1.0,0.9433739770288436,1.0,51:2,7.985613956407178e-05,0,1.0,0.9433739770288436,1.0,0.01,64,16
51,2,10,1.0,0.9433739770288436,1.0,51:2,7.702799302933272e-05,1,1.0,0.9433739770288436,1.0,0.01,64,16
51,2,9,1.0,0.9433739770288436,1.0,51:2,7.695314343436621e-05,2,1.0,0.9433739770288436,1.0,0.01,64,16
51,2,8,1.0,0.9433739770288436,1.0,51:2,7.762881796224974e-05,3,1.0,0.9433739770288436,1.0,0.01,64,16
55,2,11,1.0,0.9433739770288436,1.0,55:2,4.5938089897390455e-05,0,1.0,0.9433739770288436,1.0,0.0,64,4
55,2,10,1.0,0.9433739770288436,1.0,55:2,4.5564509491669014e-05,1,1.0,0.9433739770288436,1.0,0.0,64,4
55,2,9,1.0,0.9433739770288436,1.0,55:2,4.623889981303364e-05,2,1.0,0.9433739770288436,1.0,0.0,64,4
55,2,8,1.0,0.9433739770288436,1.0,55:2,4.716661533166189e-05,3,1.0,0.9433739770288436,1.0,0.0,64,4
55,2,11,0.9972365292495986,0.9166570109970937,0.984375,55:2,4.7855493903625757e-05,0,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
55,2,10,0.9972365292495986,0.9166570109970937,0.984375,55:2,4.594406891555991e-05,1,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
55,2,9,0.9972365292495986,0.9166570109970937,0.984375,55:2,4.546481432043947e-05,2,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
55,2,8,0.9972365292495986,0.9166570109970937,0.984375,55:2,4.4877555410494097e-05,3,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
55,2,11,1.0,0.9433739770288436,1.0,55:2,5.894597961741965e-05,0,1.0,0.9433739770288436,1.0,0.0,64,8
55,2,10,1.0,0.9433739770288436,1.0,55:2,5.9172522014705464e-05,1,1.0,0.9433739770288436,1.0,0.0,64,8
55,2,9,1.0,0.9433739770288436,1.0,55:2,5.9162108300370164e-05,2,1.0,0.9433739770288436,1.0,0.0,64,8
55,2,8,1.0,0.9433739770288436,1.0,55:2,5.865682032890618e-05,3,1.0,0.9433739770288436,1.0,0.0,64,8
55,2,11,1.0,0.9433739770288436,1.0,55:2,5.9943356973235495e-05,0,1.0,0.9433739770288436,1.0,0.01,64,8
55,2,10,1.0,0.9433739770288436,1.0,55:2,6.085412678658031e-05,1,1.0,0.9433739770288436,1.0,0.01,64,8
55,2,9,1.0,0.9433739770288436,1.0,55:2,5.93150998611236e-05,2,1.0,0.9433739770288436,1.0,0.01,64,8
55,2,8,1.0,0.9433739770288436,1.0,55:2,6.102336737967562e-05,3,1.0,0.9433739770288436,1.0,0.01,64,8
55,2,11,1.0,0.9433739770288436,1.0,55:2,8.546867684344761e-05,0,1.0,0.9433739770288436,1.0,0.0,64,16
