M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
16,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0021479836987055023,A_uniform_hard_box,1,64
16,119,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016306354227708653,A_uniform_hard_box,0,64
16,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016457597812404856,B_exact_finite_discrete_gaussian,3,64
16,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016579049715801375,B_exact_finite_discrete_gaussian,2,64
16,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.00165636065594299,B_exact_finite_discrete_gaussian,1,64
16,119,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016359758601538488,B_exact_finite_discrete_gaussian,0,64
32,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016438106395071372,A_uniform_hard_box,4,64
32,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001658799499637098,A_uniform_hard_box,3,64
32,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016589265260336106,A_uniform_hard_box,2,64
32,119,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016614048408882809,A_uniform_hard_box,1,64
32,119,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016663104806866613,A_uniform_hard_box,0,64
32,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017331725020994782,B_exact_finite_discrete_gaussian,4,64
32,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017174746717500966,B_exact_finite_discrete_gaussian,3,64
32,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016957246389210923,B_exact_finite_discrete_gaussian,2,64
32,119,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001707457001430157,B_exact_finite_discrete_gaussian,1,64
32,119,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017253483001695713,B_exact_finite_discrete_gaussian,0,64
8,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015760572850922472,A_uniform_hard_box,2,64
8,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015532935667579295,A_uniform_hard_box,1,64
8,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015537936542386888,A_uniform_hard_box,0,64
8,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015660917042623623,B_exact_finite_discrete_gaussian,2,64
8,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015689615047449479,B_exact_finite_discrete_gaussian,1,64
8,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015697266553615918,B_exact_finite_discrete_gaussian,0,64
16,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016123763571158634,A_uniform_hard_box,3,64
16,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016160671066245413,A_uniform_hard_box,2,64
16,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001600132130079146,A_uniform_hard_box,1,64
16,133,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016040918253565906,A_uniform_hard_box,0,64
