N,base,cutoff,factor_pair,factor_success,factors_used_only_posthoc,failure_counts,instance_id,noise_axis,noise_setting,order_success,realization,runtime_seconds,shot_seed,shots,stochastic_setting
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,33,3.091699909418821e-05,2326072534,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,33,3.183400258421898e-05,2326073534,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,33,4.774999979417771e-05,2326079534,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,33,7.19579984433949e-05,2326087534,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,34,2.9791000997647643e-05,2326072535,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,34,3.112500417046249e-05,2326073535,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,34,5.212500400375575e-05,2326079535,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,34,7.641699630767107e-05,2326087535,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,35,3.112500417046249e-05,2326072536,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,35,3.058300353586674e-05,2326073536,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,35,4.7541994717903435e-05,2326079536,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,35,7.19579984433949e-05,2326087536,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,36,3.079199814237654e-05,2326072537,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,36,3.125000512227416e-05,2326073537,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,36,4.7249995986931026e-05,2326079537,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,36,7.104199903551489e-05,2326087537,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,37,2.8915994334965944e-05,2326072538,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,37,3.174999437760562e-05,2326073538,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,37,5.229198723100126e-05,2326079538,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,37,7.224999717436731e-05,2326087538,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,38,2.8708003810606897e-05,2326072539,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,38,3.241699596401304e-05,2326073539,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,38,4.687500768341124e-05,2326079539,8,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,38,7.354099943768233e-05,2326087539,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,39,2.966700412798673e-05,2326072540,1,False
35,2,11,,False,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,False,39,2.9000002541579306e-05,2326073540,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,39,5.266600055620074e-05,2326079540,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 1}",35:2,baseline,baseline,True,39,6.966599903535098e-05,2326087540,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,40,3.441600711084902e-05,2326072541,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,40,3.6415993236005306e-05,2326073541,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,40,5.358298949431628e-05,2326079541,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 3}",35:2,baseline,baseline,True,40,7.129200093913823e-05,2326087541,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,41,3.1332994694821537e-05,2326072542,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,41,3.012499655596912e-05,2326073542,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,41,4.837500455323607e-05,2326079542,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,41,0.0001230000052601099,2326087542,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,42,3.700000524986535e-05,2326072543,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,42,3.3792006433941424e-05,2326073543,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,42,5.4042000556364655e-05,2326079543,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 1}",35:2,baseline,baseline,True,42,6.949999078642577e-05,2326087543,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,43,2.9875009204261005e-05,2326072544,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,43,3.329099854454398e-05,2326073544,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,43,4.804201307706535e-05,2326079544,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,43,7.170799653977156e-05,2326087544,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,44,2.950000634882599e-05,2326072545,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,44,3.0292008887045085e-05,2326073545,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 3}",35:2,baseline,baseline,True,44,4.1292005334980786e-05,2326079545,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 1}",35:2,baseline,baseline,True,44,7.654201181139797e-05,2326087545,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,45,4.454200097825378e-05,2326072546,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,45,4.237500252202153e-05,2326073546,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,45,7.416699372697622e-05,2326079546,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 3, ""zero_phase"": 1}",35:2,baseline,baseline,True,45,0.00015679099305998534,2326087546,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,46,3.7416990380734205e-05,2326072547,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,46,3.4249998861923814e-05,2326073547,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,46,4.6209010179154575e-05,2326079547,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,46,7.366700447164476e-05,2326087547,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,47,2.8833004762418568e-05,2326072548,1,False
35,2,11,,False,True,"{""zero_phase"": 2}",35:2,baseline,baseline,False,47,2.8167007258161902e-05,2326073548,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,47,5.099999543745071e-05,2326079548,8,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,47,8.491599874105304e-05,2326087548,16,False
35,2,11,"[5, 7]",True,True,{},35:2,controlled_phase,cphase_gain_0p02,True,0,7.441699563059956e-05,2326082501,1,False
35,2,11,"[5, 7]",True,True,{},35:2,controlled_phase,cphase_gain_0p02,True,0,4.6999994083307683e-05,2326083501,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,controlled_phase,cphase_gain_0p02,True,0,5.17919979756698e-05,2326089501,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 3}",35:2,controlled_phase,cphase_gain_0p02,True,0,7.433300197590142e-05,2326097501,16,False
35,2,11,"[5, 7]",True,True,{},35:2,controlled_phase,cphase_gain_0p02,True,1,3.2333002309314907e-05,2326082502,1,False
35,2,11,"[5, 7]",True,True,{},35:2,controlled_phase,cphase_gain_0p02,True,1,3.3125004847534e-05,2326083502,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,controlled_phase,cphase_gain_0p02,True,1,4.774999979417771e-05,2326089502,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,controlled_phase,cphase_gain_0p02,True,1,8.295800944324583e-05,2326097502,16,False
