N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.023410336426280064,0.001463146026642504,0.8307307756478944,0.8307307756478944,0.9998115581416089,False,0.07754069568979398,35:2,False,False,0.05,rz_rotation,rz_sigma_0p02,0.830543517229225,0.830543517229225,4096,12,0.0,0.02,16,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.008482739260105386,0.008482739260105386,0.8307307756478944,0.8307307756478944,0.9986250581559752,False,0.05242130504837734,35:2,False,False,0.05,rz_rotation,rz_sigma_0p05,0.8299663124917835,0.8299663124917835,4096,12,0.0,0.05,1,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.016965478520210773,0.008482739260105386,0.8307307756478944,0.8307307756478944,0.9986250581559752,False,0.07408397248525891,35:2,False,False,0.05,rz_rotation,rz_sigma_0p05,0.8299663124917835,0.8299663124917835,4096,12,0.0,0.05,2,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.06786191408084309,0.008482739260105386,0.8307307756478944,0.8307307756478944,0.9986250581559752,False,0.14755901466528482,35:2,False,False,0.05,rz_rotation,rz_sigma_0p05,0.8299663124917835,0.8299663124917835,4096,12,0.0,0.05,8,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.13572382816168618,0.008482739260105386,0.8307307756478944,0.8307307756478944,0.9986250581559752,False,0.2075409194011147,35:2,False,False,0.05,rz_rotation,rz_sigma_0p05,0.8299663124917835,0.8299663124917835,4096,12,0.0,0.05,16,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.02429422713505653,0.02429422713505653,0.8307307756478944,0.8307307756478944,0.9931613735261842,False,0.11674967295707198,35:2,False,False,0.05,rz_rotation,rz_sigma_0p10,0.8267077607744553,0.8267077607744553,4096,12,0.0,0.1,1,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.04858845427011306,0.02429422713505653,0.8307307756478944,0.8307307756478944,0.9931613735261842,False,0.16454538012011846,35:2,False,False,0.05,rz_rotation,rz_sigma_0p10,0.8267077607744553,0.8267077607744553,4096,12,0.0,0.1,2,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.19435381708045224,0.02429422713505653,0.8307307756478944,0.8307307756478944,0.9931613735261842,False,0.3224611444749667,35:2,False,False,0.05,rz_rotation,rz_sigma_0p10,0.8267077607744553,0.8267077607744553,4096,12,0.0,0.1,8,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.3887076341609045,0.02429422713505653,0.8307307756478944,0.8307307756478944,0.9931613735261842,False,0.4440160938317363,35:2,False,False,0.05,rz_rotation,rz_sigma_0p10,0.8267077607744553,0.8267077607744553,4096,12,0.0,0.1,16,True,True,0.0
35,2,150,66,0.0,0.0,11,0.001,0.8606433826830363,False,0.13368216420000228,0.13368216420000228,0.8307307756478944,0.8307307756478944,0.9494027365894865,False,0.3140612102065363,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p001,0.7944397656660873,0.7944397656660873,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.001,0.8606433826830363,False,0.26736432840000457,0.13368216420000228,0.8307307756478944,0.8307307756478944,0.9494027365894865,False,0.4330590421843828,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p001,0.7944397656660873,0.7944397656660873,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.001,0.8606433826830363,False,1.0,0.13368216420000228,0.8307307756478944,0.8307307756478944,0.9494027365894865,False,0.7511856142489255,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p001,0.7944397656660873,0.7944397656660873,4096,12,0.0,0.0,8,False,True,0.0
