N,bounded_product_diversity_B2,bounded_relation_count_B2,candidate_pool,claim_augmented_norm_bound,known_factors_posthoc,method,relation_norm_bound_T,selected_bases,selected_pairs,selected_roots,selection_seed,selector_setup_factor_leak,subgroup_overlap_score
2537,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2086670101,False,1.0
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2096170101,False,0.3333333333333333
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2096270101,False,0.3333333333333333
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",subgroup_overlap_only,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2096370101,False,0.27777777777777773
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",complete_selector,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2096470101,False,0.27777777777777773
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",random_coprime_roots,28,"[169, 841, 361]","[{""root"": 13, ""base"": 169}, {""root"": 29, ""base"": 841}, {""root"": 19, ""base"": 361}]","[13, 29, 19]",2096570101,False,0.5
2623,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 61]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2096670101,False,0.3333333333333333
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2106170101,False,0.6666666666666666
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2106270101,False,0.6666666666666666
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",subgroup_overlap_only,28,"[4, 9, 841]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 29, ""base"": 841}]","[2, 3, 29]",2106370101,False,0.3636363636363636
