N,M,model,cutoff,factor_probability,ci95_low,ci95_high,mean_lll_seconds
143,32,A_uniform_hard_box,0,0.0625,0.01111905730833121,0.2832926836802987,0.0020864663092652336
143,32,A_uniform_hard_box,1,0.125,0.034976749337057134,0.3602333143674828,0.0020958956774848048
143,32,A_uniform_hard_box,2,0.25,0.10181901984237346,0.49498768929398645,0.001862606754002627
143,32,A_uniform_hard_box,3,0.1875,0.06591478773586765,0.4300935986845823,0.0019103775630355813
143,32,A_uniform_hard_box,4,0.9375,0.7167073163197013,0.9888809426916687,0.00198595313122496
143,32,B_exact_finite_discrete_gaussian,0,0.1875,0.06591478773586765,0.4300935986845823,0.0018440545682096854
143,32,B_exact_finite_discrete_gaussian,1,0.25,0.10181901984237346,0.49498768929398645,0.001871843618573621
143,32,B_exact_finite_discrete_gaussian,2,0.375,0.18480982554752806,0.613593529020652,0.0019192605614080094
143,32,B_exact_finite_discrete_gaussian,3,0.125,0.034976749337057134,0.3602333143674828,0.0018994818128703628
143,32,B_exact_finite_discrete_gaussian,4,0.875,0.6397666856325173,0.9650232506629428,0.002256338506413158
