N,amplitude_squared_norm,bases,chi_square_from_parseval_kernel,chi_square_from_probabilities,gaussian_radius_R,joint_entropy_bits,method,model,modulus_D,parseval_absolute_error,probability_sha256,reconstruction_scale,roots,support_size,total_correlation_bits
2537,262144.0,"[4, 9, 25]",126.62365524814231,126.62365524814233,,12.730533981188099,short_relation_rejection_only,A_uniform_hard_box,64,1.4210854715202004e-14,26ea448d207db8009d5491a8cab35b8d716b20a61651f30d51dc8d067dd108b5,13,"[2, 3, 5]",262144,5.269466018811901
2537,1448.1546878630381,"[4, 9, 25]",5.726028354196052,5.726028354196055,16.0,15.907870949007673,short_relation_rejection_only,B_exact_gaussian_state,64,2.6645352591003757e-15,aa04f37696b120ab2f9bd5fa3440bb8ba9f82c94365af18de72187bf1174470c,13,"[2, 3, 5]",262144,2.0921290509923267
2537,262144.0,"[4, 49, 121]",126.72824759918149,126.72824759918151,,12.721828961245425,subgroup_overlap_only,A_uniform_hard_box,64,2.842170943040401e-14,178faab8d23eddd00f3f93351dc08d1a0ea6637f17c0356b4de4faee28947fe1,13,"[2, 7, 11]",262144,5.278171038754575
2537,1448.1546878630381,"[4, 49, 121]",5.744154520700026,5.744154520700027,16.0,15.857151123380408,subgroup_overlap_only,B_exact_gaussian_state,64,8.881784197001252e-16,3de5d112ab77bbb4f959e094ede1e463405fdb402443e3a12f6b5f6cafc4de35,13,"[2, 7, 11]",262144,2.142848876619592
2537,262144.0,"[4, 49, 1369]",127.34393464200548,127.34393464200551,,12.652905382082585,complete_selector,A_uniform_hard_box,64,2.842170943040401e-14,8a59c1abd976d66fcd8817d6a15a1582f4b75fccb0b4229f643f329bc5eb3d32,13,"[2, 7, 37]",262144,5.347094617917419
2537,1448.1546878630381,"[4, 49, 1369]",5.733320685269016,5.733320685269016,16.0,15.88211995567729,complete_selector,B_exact_gaussian_state,64,0.0,99309e488860e3fc8a095fd44996bf18e43d18685deedc590598fdf642c2f6da,13,"[2, 7, 37]",262144,2.1178800443227104
2537,262144.0,"[529, 169, 9]",126.64322002290282,126.64322002290284,,12.725310859799693,random_coprime_roots,A_uniform_hard_box,64,1.4210854715202004e-14,bf39e6380be45d386b89edc5de82beddab6fb692f9a8e959ec47a19e0c6e04a6,13,"[23, 13, 3]",262144,5.274689140200307
2537,1448.1546878630381,"[529, 169, 9]",6.006236855228846,6.006236855228847,16.0,15.72432714367681,random_coprime_roots,B_exact_gaussian_state,64,8.881784197001252e-16,7acbc229b4dd47f993277d8c69d30a455d55067ce51746acc55fb7eb776c5481,13,"[23, 13, 3]",262144,2.2756728563231903
2537,262144.0,"[4, 9, 25]",126.62365524814231,126.62365524814233,,12.730533981188099,regev_small_prime_roots,A_uniform_hard_box,64,1.4210854715202004e-14,26ea448d207db8009d5491a8cab35b8d716b20a61651f30d51dc8d067dd108b5,13,"[2, 3, 5]",262144,5.269466018811901
2537,1448.1546878630381,"[4, 9, 25]",5.726028354196052,5.726028354196055,16.0,15.907870949007673,regev_small_prime_roots,B_exact_gaussian_state,64,2.6645352591003757e-15,aa04f37696b120ab2f9bd5fa3440bb8ba9f82c94365af18de72187bf1174470c,13,"[2, 3, 5]",262144,2.0921290509923267
2623,262144.0,"[4, 9, 25]",122.44457313453313,122.44457313453313,,12.75301386604427,residue_deduplication_only,A_uniform_hard_box,64,0.0,9987d1f7cf5780fd41760887d30b23548c104c4a29d01a20dcd97b97f553e4c4,13,"[2, 3, 5]",262144,5.24698613395573
2623,1448.1546878630381,"[4, 9, 25]",5.502248463905981,5.502248463905982,16.0,15.952919926195516,residue_deduplication_only,B_exact_gaussian_state,64,8.881784197001252e-16,c7011d7e983c907527afcdd76545dd98685763cb55c6b55e390a359f2821c458,13,"[2, 3, 5]",262144,2.0470800738044836
2623,262144.0,"[4, 9, 25]",122.44457313453313,122.44457313453313,,12.75301386604427,short_relation_rejection_only,A_uniform_hard_box,64,0.0,9987d1f7cf5780fd41760887d30b23548c104c4a29d01a20dcd97b97f553e4c4,13,"[2, 3, 5]",262144,5.24698613395573
2623,1448.1546878630381,"[4, 9, 25]",5.502248463905981,5.502248463905982,16.0,15.952919926195516,short_relation_rejection_only,B_exact_gaussian_state,64,8.881784197001252e-16,c7011d7e983c907527afcdd76545dd98685763cb55c6b55e390a359f2821c458,13,"[2, 3, 5]",262144,2.0470800738044836
2623,262144.0,"[4, 9, 49]",122.37080079072621,122.37080079072624,,12.768593441263796,subgroup_overlap_only,A_uniform_hard_box,64,2.842170943040401e-14,671ba782a047715016c8b199005cc4d989ef53c09aac7d9a1bd50e9af6688ef5,13,"[2, 3, 7]",262144,4.767162278433101
2623,1448.1546878630381,"[4, 9, 49]",5.50225928312009,5.502259283120091,16.0,15.952787127343868,subgroup_overlap_only,B_exact_gaussian_state,64,1.7763568394002505e-15,355a0aeccbe0742eb93149fc3e4f0c2aab884dfb043d4f6ca2840274ef1cce2d,13,"[2, 3, 7]",262144,2.0471898375739457
2623,262144.0,"[4, 9, 49]",122.37080079072621,122.37080079072624,,12.768593441263796,complete_selector,A_uniform_hard_box,64,2.842170943040401e-14,671ba782a047715016c8b199005cc4d989ef53c09aac7d9a1bd50e9af6688ef5,13,"[2, 3, 7]",262144,4.767162278433101
2623,1448.1546878630381,"[4, 9, 49]",5.50225928312009,5.502259283120091,16.0,15.952787127343868,complete_selector,B_exact_gaussian_state,64,1.7763568394002505e-15,355a0aeccbe0742eb93149fc3e4f0c2aab884dfb043d4f6ca2840274ef1cce2d,13,"[2, 3, 7]",262144,2.0471898375739457
