L_minus_L0_candidate_success_rate,N,all_basis_diagnostic_factor_success_rate,claim_prefix_candidate_count_mean,claim_prefix_length_mean,claim_prefix_rejected_nonrelation_rows_mean,factor_success_rate,method,model,trials,valid_L_relation_success_rate
1.0,2747,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2747,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.0
0.0,2747,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.0
0.96875,2747,0.96875,2.90625,3.0,0.09375,0.96875,regev_small_prime_roots,C_theoretical_noisy_dual,32,0.96875
0.0,2747,0.0,0.0,10.0,9.96875,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.0
0.0,2747,0.0,0.0,10.0,10.0,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.0
0.9375,2747,0.9375,2.8125,3.0,0.1875,0.9375,residue_deduplication_only,C_theoretical_noisy_dual,32,0.9375
0.0,2747,0.0,0.0,10.0,9.96875,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.0
0.0,2747,0.0,0.0,10.0,9.96875,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.0
1.0,2747,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.1875,2747,0.1875,0.21875,10.0,9.78125,0.1875,subgroup_overlap_only,A_uniform_hard_box,32,0.1875
0.125,2747,0.125,0.125,10.0,9.875,0.125,subgroup_overlap_only,B_exact_gaussian_state,32,0.125
1.0,2747,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.03125,2773,0.03125,0.03125,10.0,9.96875,0.03125,complete_selector,A_uniform_hard_box,32,0.03125
0.0,2773,0.0,0.0,10.0,10.0,0.0,complete_selector,B_exact_gaussian_state,32,0.0
1.0,2773,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.3125,2773,0.3125,0.3125,10.0,9.6875,0.3125,random_coprime_roots,A_uniform_hard_box,32,0.3125
0.09375,2773,0.09375,0.09375,10.0,9.90625,0.09375,random_coprime_roots,B_exact_gaussian_state,32,0.09375
1.0,2773,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.03125,2773,0.03125,0.03125,10.0,9.96875,0.03125,regev_small_prime_roots,A_uniform_hard_box,32,0.03125
0.0,2773,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.0
1.0,2773,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2773,0.0,0.0,10.0,10.0,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.0
0.0,2773,0.0,0.0,10.0,9.96875,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.0
1.0,2773,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0625,2773,0.0625,0.0625,10.0,9.9375,0.0625,short_relation_rejection_only,A_uniform_hard_box,32,0.0625
0.0,2773,0.0,0.0,10.0,10.0,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.0
1.0,2773,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.09375,2773,0.09375,0.09375,10.0,9.90625,0.09375,subgroup_overlap_only,A_uniform_hard_box,32,0.09375
0.0,2773,0.0,0.0,10.0,10.0,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.0
1.0,2773,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2867,0.0,0.0,10.0,10.0,0.0,complete_selector,A_uniform_hard_box,32,0.0
0.0,2867,0.0,0.0,10.0,10.0,0.0,complete_selector,B_exact_gaussian_state,32,0.0
1.0,2867,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.90625,2867,0.90625,0.90625,10.0,9.0625,0.90625,random_coprime_roots,A_uniform_hard_box,32,0.90625
0.96875,2867,0.96875,0.96875,10.0,9.03125,0.96875,random_coprime_roots,B_exact_gaussian_state,32,0.96875
1.0,2867,1.0,2.875,3.0,0.125,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.03125,2867,0.03125,0.125,10.0,9.875,0.03125,regev_small_prime_roots,A_uniform_hard_box,32,0.125
0.0,2867,0.0,0.03125,10.0,9.96875,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.03125
1.0,2867,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2867,0.0,0.0625,10.0,9.9375,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.0625
0.0,2867,0.0,0.03125,10.0,9.96875,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.03125
0.96875,2867,0.96875,2.90625,3.0,0.09375,0.96875,residue_deduplication_only,C_theoretical_noisy_dual,32,0.96875
0.03125,2867,0.03125,0.21875,10.0,9.78125,0.03125,short_relation_rejection_only,A_uniform_hard_box,32,0.21875
0.0,2867,0.0,0.0625,10.0,9.9375,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.0625
1.0,2867,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.03125,2867,0.03125,0.03125,10.0,9.96875,0.03125,subgroup_overlap_only,A_uniform_hard_box,32,0.03125
0.0,2867,0.0,0.0,10.0,10.0,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.0
1.0,2867,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2881,0.0,0.1875,10.0,9.78125,0.0,complete_selector,A_uniform_hard_box,32,0.1875
0.0,2881,0.0,0.09375,10.0,9.90625,0.0,complete_selector,B_exact_gaussian_state,32,0.09375
0.0,2881,0.0,3.0,3.0,0.0,0.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.03125,2881,0.03125,0.03125,10.0,9.96875,0.03125,random_coprime_roots,A_uniform_hard_box,32,0.03125
0.0,2881,0.0,0.0,10.0,9.96875,0.0,random_coprime_roots,B_exact_gaussian_state,32,0.0
1.0,2881,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2881,0.0,0.25,10.0,9.75,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.25
0.0,2881,0.0,0.15625,10.0,9.84375,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.15625
0.0,2881,0.0,3.0,3.0,0.0,0.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2881,0.0,0.25,10.0,9.75,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.25
0.0,2881,0.0,0.25,10.0,9.75,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.25
0.0,2881,0.0,3.0,3.0,0.0,0.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0,2881,0.0,0.34375,10.0,9.65625,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.34375
0.0,2881,0.0,0.21875,10.0,9.78125,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.21875
0.0,2881,0.0,3.0,3.0,0.0,0.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.0,2881,0.0,0.875,10.0,9.125,0.0,subgroup_overlap_only,A_uniform_hard_box,32,0.875
0.0,2881,0.0,1.0,10.0,9.0,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,1.0
0.0,2881,0.0,3.0,3.0,0.0,0.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2911,0.0,0.8125,10.0,9.1875,0.0,complete_selector,A_uniform_hard_box,32,0.8125
0.0,2911,0.0,0.65625,10.0,9.34375,0.0,complete_selector,B_exact_gaussian_state,32,0.65625
1.0,2911,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.0,2911,0.0,0.4375,10.0,9.5625,0.0,random_coprime_roots,A_uniform_hard_box,32,0.4375
0.0,2911,0.0,0.1875,10.0,9.8125,0.0,random_coprime_roots,B_exact_gaussian_state,32,0.1875
1.0,2911,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2911,0.0,0.375,10.0,9.625,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.375
0.0,2911,0.0,0.1875,10.0,9.8125,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.1875
1.0,2911,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2911,0.0,0.59375,10.0,9.40625,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.59375
0.0,2911,0.0,0.25,10.0,9.75,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.25
1.0,2911,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0,2911,0.0,0.28125,10.0,9.71875,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.28125
0.0,2911,0.0,0.125,10.0,9.875,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.125
1.0,2911,1.0,2.9375,3.0,0.0625,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.75,2911,0.75,1.125,10.0,8.875,0.75,subgroup_overlap_only,A_uniform_hard_box,32,0.8125
