M,N,bases,bounded_product_diversity,bounded_relation_count,bounded_relation_rank,chi_square_from_uniform,covariance_effective_rank,covariance_rank,d,distinct_order_count,entropy_deficit_bits,instance_class,joint_entropy_bits,max_entropy_bits,mean_pairwise_mutual_information_bits,method,parseval_absolute_error,posthoc_bounded_root_audit_factors,primary,relation_signal_energy,resource_M,resource_controlled_modular_multiplication_blocks,resource_d,resource_modular_exponentiation_blocks,resource_n,resource_nd,resource_qft_blocks,resource_total_qubits,resource_work_qubits,resource_x_qubits,roots,setup_factor_leak,setup_factor_leaks,shortest_relation_norm,subgroup_size,support_size,total_correlation_bits,unique_residues
32,4199,"[2, 3, 11]",1.0,0,0,5.110095344483852,2.999996205917937,3,3,3,1.6723029165616374,three_prime,13.327697083438363,15.0,0.25601004887625933,random_coprime_residues,0.0,[],True,5.110095344483852,32,15,3,3,13,5,3,42,27,15,null,False,[],,1728,32768,1.6723029165616339,3
32,4199,"[25, 49, 121]",0.96,0,0,51.64846122264862,2.931886508914612,3,3,2,4.156450946935756,three_prime,10.843549053064244,15.0,1.4944223076321403,random_coprime_squares,0.0,[],True,51.64846122264862,32,15,3,3,13,5,3,42,27,15,"[5, 7, 11]",False,[],,216,32768,3.9677290713948885,3
32,4199,"[3, 2, 5]",1.0,0,0,5.025261530652642,2.999982839852481,3,3,2,1.613711140580822,three_prime,13.386288859419178,15.0,0.34454200424556686,dependency_aware,0.0,[],True,5.025261530652642,32,15,3,3,13,5,3,42,27,15,null,False,[],,1728,32768,1.6137111405808184,3
32,7429,"[4, 9, 25]",1.0,0,0,11.404446113854647,2.999974333118858,3,3,2,2.350017011929541,three_prime,12.649982988070459,15.0,0.10749734142477507,notebook_squared_primes,0.0,[],True,11.404446113854647,32,15,3,3,13,5,3,42,27,15,"[2, 3, 5]",False,[],,792,32768,2.350017011929543,3
32,7429,"[4, 9, 25]",1.0,0,0,11.404446113854647,2.999974333118858,3,3,2,2.350017011929541,three_prime,12.649982988070459,15.0,0.10749734142477507,squared_primes_deduplicated,0.0,[],True,11.404446113854647,32,15,3,3,13,5,3,42,27,15,"[2, 3, 5]",False,[],,792,32768,2.350017011929543,3
32,7429,"[11, 3, 2]",1.0,0,0,1.521466851234436,3.0000000000000004,3,3,3,0.8112705489178573,three_prime,14.188729451082143,15.0,2.3684757858670005e-15,random_coprime_residues,0.0,[],True,1.521466851234436,32,15,3,3,13,5,3,42,27,15,null,False,[],,6336,32768,0.8112705489178609,3
32,7429,"[25, 121, 4]",1.0,0,0,11.423946592956781,2.9999702906545274,3,3,3,2.362312477118918,three_prime,12.637687522881082,15.0,0.07802931749443331,random_coprime_squares,0.0,[],True,11.423946592956781,32,15,3,3,13,5,3,42,27,15,"[5, 11, 2]",False,[],,792,32768,2.3623124771189197,3
32,7429,"[3, 7, 5]",1.0,0,0,2.8016760423779488,2.9999951625803014,3,3,2,1.2136207119226459,three_prime,13.786379288077354,15.0,0.017326961244239197,dependency_aware,0.0,[],True,2.8016760423779488,32,15,3,3,13,5,3,42,27,15,null,False,[],,3168,32768,1.213620711922644,3
16,15,"[4, 4]",0.08,6,2,127.0,1.0,1,2,1,7.0,semiprime_setup_leak,1.0,8.0,1.0,notebook_squared_primes,0.0,"[3, 5]",False,127.0,16,8,2,2,4,4,2,17,9,8,"[2, 7]",True,"[[3, 3, 5], [5, 5, 3]]",1.4142135623730951,2,2,1.0,1
16,15,"[4, 1]",0.08,7,2,127.0,1.0,1,2,2,7.0,semiprime_setup_leak,1.0,8.0,0.0,squared_primes_deduplicated,0.0,"[3, 5]",False,127.0,16,8,2,2,4,4,2,17,9,8,"[2, 11]",True,"[[3, 3, 5], [5, 5, 3], [7, 3, 5]]",1.0,2,2,0.0,2
16,15,"[11, 7]",0.32,1,1,31.0,1.9876669750024174,2,2,2,5.0,semiprime_setup_leak,3.0,8.0,0.0,random_coprime_residues,0.0,[],False,31.0,16,8,2,2,4,4,2,17,9,8,null,True,[3],2.0,8,8,0.0,2
16,15,"[4, 4]",0.08,6,2,127.0,1.0,1,2,1,7.0,semiprime_setup_leak,1.0,8.0,1.0,random_coprime_squares,0.0,"[3, 5]",False,127.0,16,8,2,2,4,4,2,17,9,8,"[7, 2]",True,"[5, 3]",1.4142135623730951,2,2,1.0,1
16,15,"[2, 11]",0.32,1,1,31.0,1.9876669750024174,2,2,2,5.0,semiprime_setup_leak,3.0,8.0,0.0,dependency_aware,0.0,[],False,31.0,16,8,2,2,4,4,2,17,9,8,null,True,"[3, 5]",2.0,8,8,0.0,2
16,21,"[4, 4, 16]",0.024,20,3,569.2279404401779,1.8796620398103208,3,3,1,7.094493183325126,semiprime_setup_leak,4.905506816674874,12.0,1.3638854084351968,notebook_squared_primes,0.0,"[3, 7]",False,569.2279404401779,16,12,3,3,5,4,3,23,11,12,"[2, 5, 11]",True,"[[3, 3, 7], [7, 7, 3]]",1.4142135623730951,3,4096,2.809341616716682,2
16,21,"[4, 16, 1]",0.024,22,3,683.5278320312499,1.78900281638649,2,3,2,8.220653119507492,semiprime_setup_leak,3.779346880492507,12.0,0.4546284694783999,squared_primes_deduplicated,1.1368683772161603e-13,"[3, 7]",False,683.52783203125,16,12,3,3,5,4,3,23,11,12,"[2, 11, 13]",True,"[[3, 3, 7], [5, 3, 7], [7, 7, 3]]",1.0,3,256,1.363885408435198,3
16,21,"[2, 11, 5]",0.096,6,3,141.90325212478638,2.938134125586802,3,3,1,5.219663158643198,semiprime_setup_leak,6.780336841356802,12.0,1.4183734881428374,random_coprime_residues,0.0,[],False,141.90325212478638,16,12,3,3,5,4,3,23,11,12,null,True,[3],1.4142135623730951,12,4096,3.2566566418632528,3
16,21,"[4, 16, 4]",0.024,20,3,569.2279404401781,1.8796620398103216,3,3,1,7.094493183325125,semiprime_setup_leak,4.905506816674875,12.0,1.3638854084351966,random_coprime_squares,2.2737367544323206e-13,"[3, 7]",False,569.2279404401779,16,12,3,3,5,4,3,23,11,12,"[5, 11, 2]",False,[],1.4142135623730951,3,4096,2.809341616716682,2
16,21,"[2, 5, 11]",0.096,6,3,141.90325212478638,2.9381341255868025,3,3,1,5.219663158643197,semiprime_setup_leak,6.780336841356803,12.0,1.4183734881428363,dependency_aware,0.0,[],False,141.90325212478638,16,12,3,3,5,4,3,23,11,12,null,True,"[3, 7]",1.4142135623730951,12,4096,3.256656641863252,3
