N,batches,bounded_spectral_dimension_ci_high,bounded_spectral_dimension_ci_low,bounded_spectral_dimension_mean,covariance_effective_rank_ci_high,covariance_effective_rank_ci_low,covariance_effective_rank_mean,estimated_signal_energy_ci_high,estimated_signal_energy_ci_low,estimated_signal_energy_mean,joint_entropy_bits_ci_high,joint_entropy_bits_ci_low,joint_entropy_bits_mean,mean_pairwise_mutual_information_bits_ci_high,mean_pairwise_mutual_information_bits_ci_low,mean_pairwise_mutual_information_bits_mean,method,observed_support_size_ci_high,observed_support_size_ci_low,observed_support_size_mean,relation_separation_ci_high,relation_separation_ci_low,relation_separation_mean,selected_relation_rank_ci_high,selected_relation_rank_ci_low,selected_relation_rank_mean,shots_per_batch,top_is_relation_ci_high,top_is_relation_ci_low,top_is_relation_mean,top_yields_factor_ci_high,top_yields_factor_ci_low,top_yields_factor_mean,total_correlation_bits_ci_high,total_correlation_bits_ci_low,total_correlation_bits_mean
289,200,3.0,3.0,3.0,2.969679494783221,2.9632107230740488,2.9664451089286348,0.1836512679632469,0.16952576501358732,0.1765885164884171,6.755406522935935,6.737702617773595,6.746554570354765,3.0374478747821367,3.0204771454500623,3.0289625101160995,notebook_squared_primes,113.24397907508407,112.25602092491593,112.75,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.703041336529445,7.678787438700159,7.690914387614802
289,200,3.0,3.0,3.0,2.969924439533478,2.963462320950093,2.9666933802417854,0.18680565144722353,0.17259721897531563,0.17970143521126958,6.760858290778476,6.743732390618341,6.752295340698408,3.039089876511554,3.02068843265886,3.029889154585207,squared_primes_deduplicated,113.54189639089853,112.56810360910148,113.055,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.7008173728910005,7.6758279094281505,7.6883226411595755
289,200,3.0,3.0,3.0,2.972679493985491,2.9668719608472127,2.969775727416352,0.18043123976487435,0.16653865363921705,0.1734849467020457,6.874200536609767,6.861893819352704,6.868047177981236,2.885305071101896,2.8707889537450666,2.8780470124234814,random_coprime_residues,120.18068630371917,119.45931369628082,119.82,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.59113998738484,7.568038164491456,7.579589075938148
289,200,3.0,3.0,3.0,2.968860622862461,2.9615474549107543,2.9652040388866077,0.19329809204760773,0.1786268735561532,0.18596248280188046,6.758185478942357,6.742105107497885,6.750145293220121,3.0358960723035646,3.017588742487805,3.026742407395685,random_coprime_squares,113.40443321113908,112.48556678886091,112.945,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.705212439522351,7.679377456370173,7.692294947946262
289,200,3.0,3.0,3.0,2.9717510700930716,2.9669853222522744,2.969368196172673,0.17760058460902467,0.16399224262387596,0.17079641361645032,6.873303688864082,6.861138694674349,6.867221191769215,2.8898567436866083,2.874666019228335,2.8822613814574716,dependency_aware,120.11452981031012,119.39547018968987,119.755,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.592059954072929,7.569970939413284,7.581015446743106
299,200,1.0,1.0,1.0,2.9657449631760087,2.957663723884305,2.961704343530157,1.6900218636900655,1.657680533740725,1.6738511987153952,6.544407810827774,6.520595825720703,6.5325018182742385,3.2195993250178376,3.1987112134873192,3.2091552692525784,notebook_squared_primes,101.87981395765094,100.68018604234906,101.28,0.7531688603017664,0.7411909714072288,0.7471799158544976,2.0,2.0,2.0,128,1.0,0.9811546736227335,1.0,0.9180200729362449,0.8276574790170326,0.88,7.767510503824581,7.737581691183865,7.752546097504223
299,200,1.0,1.0,1.0,2.967692493730406,2.96064802129831,2.964170257514358,1.7021317061395358,1.6660535888005623,1.684092647470049,6.549868532099862,6.525763710995274,6.537816121547568,3.2187084263313634,3.1972308178324766,3.20796962208192,squared_primes_deduplicated,102.25068926136977,100.99931073863023,101.625,0.7599325723360869,0.7494826616770492,0.7547076170065681,2.0,2.0,2.0,128,1.0,0.9811546736227335,1.0,0.9221362676743804,0.8333528310151243,0.885,7.767053659531017,7.736945191060014,7.751999425295516
299,200,3.0,3.0,3.0,2.9732302442667353,2.9672601122466236,2.9702451782566794,0.18937437682783873,0.17691890918908484,0.18314664300846178,6.868462486371698,6.856696062202921,6.8625792742873095,2.9434979176823557,2.927482924219836,2.935490420951096,random_coprime_residues,119.83946793705127,119.14053206294872,119.49,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.592745928816938,7.56994898418792,7.581347456502429
299,200,2.0,2.0,2.0,2.970565161066544,2.9641478223394326,2.967356491702988,0.9742923617073549,0.9516565761066706,0.9629744689070128,6.5458999841751035,6.521458332115132,6.533679158145118,3.2262076364430134,3.2056435791338327,3.215925607788423,random_coprime_squares,102.05526071026743,100.84473928973257,101.45,0.7456784818614558,0.7343403012721091,0.7400093915667825,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,0.018845326377266575,1.734723475976807e-18,0.0,7.780956454507484,7.751197485105989,7.766076969806736
299,200,3.0,3.0,3.0,2.9652588424672808,2.9585742159074724,2.9619165291873766,0.1884355881799577,0.17250531440257083,0.18047045129126427,6.74729670356899,6.729758353102861,6.738527528335926,3.0628484215157386,3.046181724189741,3.0545150728527397,dependency_aware,112.82888561074131,111.84111438925868,112.335,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.707358474594378,7.682630917354699,7.694994695974539
